x,y,value,group,label,facet,source,target,weight,lower,upper
SS18,SS18-SSX2,356.0,,SS18,Known fusion,SS18,SS18-SSX2,356.0,326.1798725690181,385.8201274309819
SS18,SS18-SSX2,357.0,,SS18,Known fusion,SS18,SS18-SSX2,357.0,327.1798725690181,386.8201274309819
FUS,FUS-DDIT3,358.0,,FUS,Known fusion,FUS,FUS-DDIT3,358.0,328.1798725690181,387.8201274309819
SS18,SS18-SSX1,359.0,,SS18,Known fusion,SS18,SS18-SSX1,359.0,329.1798725690181,388.8201274309819
FUS,FUS-DDIT3,360.0,,FUS,Known fusion,FUS,FUS-DDIT3,360.0,330.1798725690181,389.8201274309819
ALK,EML4-ALK,361.0,,ALK,Known fusion,ALK,EML4-ALK,361.0,331.1798725690181,390.8201274309819
ROS1,Intergenic-ROS1,362.0,,ROS1,Potential fusion,ROS1,Intergenic-ROS1,362.0,332.1798725690181,391.8201274309819
SS18,SS18-SSX1,363.0,,SS18,Known fusion,SS18,SS18-SSX1,363.0,333.1798725690181,392.8201274309819
NCOA2,PAX3-NCOA2,364.0,,NCOA2,Known fusion,NCOA2,PAX3-NCOA2,364.0,334.1798725690181,393.8201274309819
EWSR1,EWSR1-ERG,365.0,,EWSR1,Known fusion,EWSR1,EWSR1-ERG,365.0,335.1798725690181,394.8201274309819
NTRK1,LMNA-NTRK1,366.0,,NTRK1,Known fusion,NTRK1,LMNA-NTRK1,366.0,336.1798725690181,395.8201274309819
FGFR3,FGFR3-TACC3,367.0,,FGFR3,Known fusion,FGFR3,FGFR3-TACC3,367.0,337.1798725690181,396.8201274309819
EWSR1,EWSR1-FLI1,368.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,368.0,338.1798725690181,397.8201274309819
RET,NCOA4-RET,369.0,,RET,Known fusion,RET,NCOA4-RET,369.0,339.1798725690181,398.8201274309819
EWSR1,EWSR1-FEV,370.0,,EWSR1,Known fusion,EWSR1,EWSR1-FEV,370.0,340.1798725690181,399.8201274309819
FUS,FUS-NFATC2,371.0,,FUS,Known fusion,FUS,FUS-NFATC2,371.0,341.1798725690181,400.8201274309819
EWSR1,EWSR1-FLI1,372.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,372.0,342.1798725690181,401.8201274309819
FUS,FUS-CREB3L2,373.0,,FUS,Known fusion,FUS,FUS-CREB3L2,373.0,343.1798725690181,402.8201274309819
PRKACA,DNAJB1-PRKACA,374.0,,PRKACA,Known fusion,PRKACA,DNAJB1-PRKACA,374.0,344.1798725690181,403.8201274309819
TFE3,MATR3-TFE3,375.0,,TFE3,Known fusion,TFE3,MATR3-TFE3,375.0,345.1798725690181,404.8201274309819
SS18,SS18-SSX1,376.0,,SS18,Known fusion,SS18,SS18-SSX1,376.0,346.1798725690181,405.8201274309819
FGFR2,FGFR2-TACC2,377.0,,FGFR2,Known fusion,FGFR2,FGFR2-TACC2,377.0,347.1798725690181,406.8201274309819
FGFR2,FGFR2-ACACA,378.0,,FGFR2,Rarely reported fusion,FGFR2,FGFR2-ACACA,378.0,348.1798725690181,407.8201274309819
FUS,FUS-DDIT3,379.0,,FUS,Known fusion,FUS,FUS-DDIT3,379.0,349.1798725690181,408.8201274309819
CBFB,CBFB-CES4A,380.0,,CBFB,Known fusion,CBFB,CBFB-CES4A,380.0,350.1798725690181,409.8201274309819
TFE3,LUC7L3-TFE3,381.0,,TFE3,Known fusion,TFE3,LUC7L3-TFE3,381.0,351.1798725690181,410.8201274309819
